Movie Title,Release Year,Genre,IMDb Rating,Streaming Service,Runtime (in minutes),Age Rating,Production Country :,URL
The Brutalist,2024,Drama,,,215.0,,"United States, United Kingdom",https://www.justwatch.com/in/movie/the-brutalist
Khadaan,2024,"Action & Adventure, Drama",7.5,bookmyshow,137.0,UA,India,https://www.justwatch.com/in/movie/khadaan
Despatch,2024,"Drama, Mystery & Thriller",4.5,zee5,151.0,A,India,https://www.justwatch.com/in/movie/despatch
Golam,2024,"Crime, Mystery & Thriller",7.2,amazonprimevideo,120.0,UA,India,https://www.justwatch.com/in/movie/golam
Theri,2016,"Crime, Mystery & Thriller, Action & Adventure, Drama",7.3,"amazonprimevideo, sunnxt",157.0,U,India,https://www.justwatch.com/in/movie/theri
Furiosa: A Mad Max Saga,2024,"Action & Adventure, Science-Fiction, Mystery & Thriller",7.5,"amazon, jiocinema, itunes",149.0,A,"Australia, United States",https://www.justwatch.com/in/movie/furiosa
The Tenant,2021,Drama,6.2,,112.0,,"India, United States",https://www.justwatch.com/in/movie/the-tenant-2021
Subservience,2024,"Science-Fiction, Mystery & Thriller",5.4,,106.0,,United States,https://www.justwatch.com/in/movie/subservience
Agni,2024,"Action & Adventure, Drama, Mystery & Thriller",7.5,"amazonprimevideo, amazon",122.0,,"United States, India",https://www.justwatch.com/in/movie/agni
Oldboy,2003,"Action & Adventure, Drama, Mystery & Thriller",8.3,"amazonprimevideo, jiocinema",120.0,A,South Korea,https://www.justwatch.com/in/movie/oldboy-2003
The Dictator,2012,Comedy,6.5,amazon,83.0,A,United States,https://www.justwatch.com/in/movie/the-dictator
Mon Potongo,2024,"Drama, Romance",7.9,,149.0,A,India,https://www.justwatch.com/in/movie/mon-potongo
All the Money in the World,2017,"Mystery & Thriller, History, Crime, Drama",6.8,"amazonlionsgateplay, appletvlionsgateplay, amazonprimevideo, itunes, lionsgateplay",132.0,,"Italy, United States",https://www.justwatch.com/in/movie/all-the-money-in-the-world
Sonic the Hedgehog 3,2024,"Kids & Family, Fantasy, Science-Fiction, Action & Adventure, Comedy",7.2,,110.0,,"Japan, United States",https://www.justwatch.com/in/movie/sonic-the-hedgehog-3
"The Gangster, the Cop, the Devil",2019,"Mystery & Thriller, Crime, Action & Adventure",7.0,,110.0,,South Korea,https://www.justwatch.com/in/movie/the-gangster-the-cop-the-devil
Santosh,2024,"Drama, Mystery & Thriller, Crime",7.1,,128.0,,"Germany, United Kingdom, France",https://www.justwatch.com/in/movie/santosh-2024
The Six Triple Eight,2024,"Drama, History, War & Military",6.7,netflix,130.0,,United States,https://www.justwatch.com/in/movie/six-triple-eight
Cunk on Life,2024,"Documentary, Comedy",7.6,netflix,70.0,A,United Kingdom,https://www.justwatch.com/in/movie/cunk-on-life
Born Beautiful,2019,Comedy,5.3,netflix,96.0,,Philippines,https://www.justwatch.com/in/movie/born-beautiful
Pushpa 2 - The Rule,2024,"Crime, Action & Adventure, Drama, Mystery & Thriller",6.4,bookmyshow,198.0,,India,https://www.justwatch.com/in/movie/pushpa-the-rule-part-2
Bhool Bhulaiyaa 3,2024,"Comedy, Horror",4.8,netflix,158.0,UA,India,https://www.justwatch.com/in/movie/bhool-bhulaiyaa-3
Lucky Baskhar,2024,"Drama, Mystery & Thriller, Crime",8.0,"bookmyshow, netflix",148.0,UA,India,https://www.justwatch.com/in/movie/lucky-baskhar
Solo Leveling -ReAwakening-,2024,"Animation, Action & Adventure, Fantasy",8.2,bookmyshow,116.0,,Japan,https://www.justwatch.com/in/movie/ore-dake-level-up-na-ken-reawakening
Venom: The Last Dance,2024,"Action & Adventure, Science-Fiction, Mystery & Thriller",6.0,"amazon, itunes, zee5",109.0,,United States,https://www.justwatch.com/in/movie/venom-3-2024
Shukrana,2020,Drama,,,120.0,,India,https://www.justwatch.com/in/movie/shukrana
Ad Vitam,2025,"Action & Adventure, Mystery & Thriller, Drama, Crime",,,97.0,,France,https://www.justwatch.com/in/movie/ad-vitam
Shadow Hunters,1972,"Action & Adventure, Crime",,,90.0,,Japan,https://www.justwatch.com/in/movie/shadow-hunters-1972
Ari Shaffir: America's Sweetheart,2025,"Documentary, Comedy",,,,,United States,https://www.justwatch.com/in/movie/ari-shaffir-americas-sweetheart
The Calendar Killer,2025,"Mystery & Thriller, Crime",,,97.0,,Germany,https://www.justwatch.com/in/movie/the-calendar-killer
